CustomerID,Age,Gender,AnnualIncome,PurchaseFrequency,AverageBasketSize,Region,LastPurchaseDate,TotalSpend
CUST0412,59,Female,61521,20,91.81,South,2024-03-14,1836.2
CUST0413,44,Male,135220,11,73.52,West,2024-03-09,808.72
CUST0414,44,Male,22139,4,408.61,West,2024-08-24,1634.44
CUST0415,28,Female,81232,20,295.73,North,2023-12-05,5914.6
CUST0416,26,Male,101519,12,48.49,North,2024-01-21,581.88
CUST0417,46,Male,91141,1,396.44,North,2024-03-01,396.44
CUST0418,50,Female,86052,18,197.52,South,2023-12-09,3555.36
CUST0419,25,Male,28761,18,355.42,North,2024-07-08,6397.56
CUST0420,41,Male,80763,16,492.81,East,2024-11-05,7884.96
CUST0421,22,Female,73270,3,401.24,North,2024-07-18,1203.72
CUST0422,40,Female,149457,10,32.19,South,2024-05-13,321.9
CUST0423,32,Male,87682,23,25.21,West,2024-09-17,579.83
CUST0424,53,Female,118290,5,21.09,North,2024-05-30,105.45
CUST0425,38,Male,46322,10,160.21,West,2024-06-15,1602.1
CUST0426,55,Male,37901,12,393.42,North,2024-04-08,4721.04
CUST0427,21,Male,117380,2,357.07,South,2024-07-21,714.14
CUST0428,32,Male,51784,12,182.52,East,2024-10-25,2190.24
CUST0429,55,Female,41016,7,121.61,South,2024-06-21,851.27
CUST0430,32,Female,50059,10,266.13,North,2024-06-26,2661.3
CUST0431,62,Female,94856,14,363.11,North,2024-03-26,5083.54
CUST0432,52,Female,103951,24,34.08,East,2024-01-07,817.92
CUST0433,39,Female,75568,22,198.93,West,2024-08-13,4376.46
CUST0434,32,Female,46438,9,145.89,South,2024-10-29,1313.01
CUST0435,48,Male,148880,17,389.29,East,2024-07-09,6617.93
CUST0436,35,Female,38413,3,415.6,South,2024-04-08,1246.8
CUST0437,56,Female,25891,4,331.05,West,2024-09-10,1324.2
CUST0438,28,Male,31074,7,225.28,South,2023-12-14,1576.96
CUST0439,41,Male,42337,13,97.08,North,2024-05-09,1262.04
CUST0440,19,Male,69724,23,344.75,East,2023-12-28,7929.25
CUST0441,46,Female,123344,23,437.72,North,2023-11-26,10067.56
CUST0442,28,Female,119820,2,334.79,North,2024-10-09,669.58
CUST0443,29,Female,91103,4,246.33,West,2024-07-05,985.32
CUST0444,19,Female,116905,11,48.25,South,2024-04-13,530.75
CUST0445,36,Male,51714,5,271.53,West,2024-08-11,1357.65
CUST0446,52,Male,37289,15,469.79,South,2024-03-14,7046.85
CUST0447,29,Male,109419,12,387.56,West,2023-11-22,4650.72
CUST0448,64,Female,99955,4,296.51,South,2024-06-03,1186.04
CUST0449,28,Female,109545,2,464.31,North,2024-10-26,928.62
CUST0450,54,Female,113904,20,217.19,West,2024-05-31,4343.8
CUST0451,24,Female,38929,6,282.78,West,2024-09-19,1696.68
CUST0452,21,Male,132643,9,293.42,South,2024-03-11,2640.78
CUST0453,52,Female,117948,5,275.29,West,2024-05-09,1376.45
CUST0454,39,Male,129103,21,470.8,West,2024-04-14,9886.8
CUST0455,34,Female,79552,21,496.92,North,2024-03-02,10435.32
CUST0456,57,Female,45905,2,339.81,East,2024-08-09,679.62
CUST0457,36,Male,136176,19,288.66,North,2024-06-12,5484.54
CUST0458,39,Female,117331,6,396.22,South,2024-06-27,2377.32
CUST0459,41,Male,136483,10,169.79,North,2024-10-10,1697.9
CUST0460,37,Male,57251,16,437.15,South,2023-12-24,6994.4
CUST0461,25,Male,148686,5,337.78,South,2024-01-12,1688.9
CUST0462,34,Male,108509,2,488.93,North,2024-05-14,977.86
CUST0463,21,Male,49465,6,50.22,West,2024-06-26,301.32
CUST0464,56,Male,87776,16,112.86,South,2024-06-18,1805.76
CUST0465,45,Male,94622,7,356.37,South,2023-11-24,2494.59
CUST0466,50,Female,63976,13,472.02,East,2024-01-04,6136.26
CUST0467,41,Female,85266,22,286.3,South,2024-05-28,6298.6
CUST0468,52,Female,147176,5,240.28,West,2023-12-25,1201.4
CUST0469,43,Male,32755,15,116.62,South,2024-02-17,1749.3
CUST0470,34,Female,24268,7,498.03,West,2024-05-03,3486.21
CUST0471,36,Male,93499,3,196.55,South,2024-06-18,589.65
CUST0472,37,Male,72219,2,460.54,West,2024-01-06,921.08
CUST0473,50,Female,51525,13,359.06,West,2024-05-28,4667.78
CUST0474,42,Female,57498,19,84.42,East,2024-04-16,1603.98
CUST0475,58,Male,22032,24,65.03,East,2024-03-14,1560.72
CUST0476,26,Female,47173,6,404.72,West,2024-05-23,2428.32
CUST0477,40,Male,137183,23,255.52,South,2023-12-15,5876.96
CUST0478,29,Female,57730,22,280.01,East,2024-04-01,6160.22
CUST0479,26,Female,43487,13,395.81,West,2024-10-07,5145.53
CUST0480,42,Male,99373,3,193.35,South,2024-09-01,580.05
CUST0481,58,Female,38589,22,465.02,West,2024-07-31,10230.44
CUST0482,44,Female,145998,21,163.96,North,2024-07-10,3443.16
CUST0483,34,Female,45156,14,443.58,North,2024-02-04,6210.12
CUST0484,46,Female,113331,19,171.57,East,2024-06-27,3259.83
CUST0485,44,Male,84353,13,369.43,West,2024-03-03,4802.59
CUST0486,48,Female,146908,22,400.93,South,2024-05-24,8820.46
CUST0487,19,Male,120124,23,463.23,South,2024-11-16,10654.29
CUST0488,45,Male,98095,18,318.52,West,2024-05-30,5733.36
CUST0489,20,Female,43467,11,28.84,East,2024-03-13,317.24
CUST0490,42,Female,73387,11,374.61,East,2024-07-02,4120.71
CUST0491,31,Female,127293,12,46.51,South,2024-07-03,558.12
CUST0492,31,Male,47995,13,293.86,West,2024-09-04,3820.18
CUST0493,43,Male,38757,3,395.87,North,2024-01-15,1187.61
CUST0494,58,Female,70147,12,498.25,South,2023-12-05,5979.0
CUST0495,24,Male,80470,21,28.32,East,2023-12-17,594.72
CUST0496,57,Male,100042,7,147.38,South,2024-07-08,1031.66
CUST0497,55,Female,147076,2,324.28,West,2023-11-28,648.56
CUST0498,35,Male,27345,2,333.92,East,2024-10-16,667.84
CUST0499,24,Female,51097,4,341.24,West,2024-09-19,1364.96
CUST0500,56,Female,75615,11,108.2,North,2024-07-07,1190.2
